forecaster_type,forecaster,date,PS,VI,CI,DI
quant_modeler,economist,2020-06-04,0.03985294117647059,0.2499038831218762,0.020245098039215686,0.23029603998462128
quant_modeler,jhk,2020-06-04,0.04285714285714286,0.25,0.030952380952380953,0.2380952380952381
quant_modeler,538,2020-06-05,0.04562499999999999,0.25,0.03669642857142857,0.24107142857142858
quant_modeler,economist,2020-06-05,0.039411764705882354,0.2499038831218762,0.019803921568627453,0.23029603998462128
quant_modeler,jhk,2020-06-05,0.042946428571428566,0.25,0.031041666666666665,0.2380952380952381
quant_modeler,538,2020-06-06,0.04558035714285714,0.25,0.03665178571428571,0.24107142857142858
quant_modeler,economist,2020-06-06,0.039411764705882354,0.2499038831218762,0.019803921568627453,0.23029603998462128
quant_modeler,jhk,2020-06-06,0.04446428571428571,0.25,0.03255952380952381,0.2380952380952381
quant_modeler,538,2020-06-07,0.046160714285714284,0.25,0.03723214285714286,0.24107142857142858
quant_modeler,economist,2020-06-07,0.03926470588235294,0.2499038831218762,0.01965686274509804,0.23029603998462128
quant_modeler,jhk,2020-06-07,0.04397321428571428,0.25,0.032068452380952385,0.2380952380952381
quant_modeler,538,2020-06-08,0.04620535714285714,0.25,0.037276785714285714,0.24107142857142858
quant_modeler,economist,2020-06-08,0.03872549019607843,0.2499038831218762,0.019117647058823527,0.23029603998462128
quant_modeler,jhk,2020-06-08,0.04339285714285714,0.25,0.03446428571428571,0.24107142857142858
quant_modeler,538,2020-06-09,0.04674107142857143,0.25,0.02590773809523809,0.22916666666666669
quant_modeler,economist,2020-06-09,0.039950980392156867,0.2499038831218762,0.030147058823529412,0.24009996155324873
quant_modeler,jhk,2020-06-09,0.043883928571428574,0.25,0.03197916666666667,0.2380952380952381
quant_modeler,538,2020-06-10,0.046919642857142854,0.25,0.02013392857142857,0.22321428571428573
quant_modeler,economist,2020-06-10,0.04024509803921569,0.2499038831218762,0.020637254901960785,0.23029603998462128
quant_modeler,jhk,2020-06-10,0.04459821428571429,0.25,0.032693452380952386,0.2380952380952381
quant_modeler,538,2020-06-11,0.04732142857142857,0.25,0.029464285714285714,0.23214285714285715
quant_modeler,economist,2020-06-11,0.04083333333333333,0.2499038831218762,0.02122549019607843,0.23029603998462128
quant_modeler,jhk,2020-06-11,0.045401785714285714,0.25,0.03349702380952381,0.2380952380952381
quant_modeler,538,2020-06-12,0.04709821428571428,0.25,0.02924107142857143,0.23214285714285715
quant_modeler,economist,2020-06-12,0.040588235294117654,0.2499038831218762,0.020980392156862746,0.23029603998462128
quant_modeler,jhk,2020-06-12,0.04580357142857143,0.25,0.033898809523809526,0.2380952380952381
quant_modeler,538,2020-06-13,0.048258928571428564,0.25,0.03933035714285714,0.24107142857142858
quant_modeler,economist,2020-06-13,0.04151960784313726,0.2499038831218762,0.031715686274509804,0.24009996155324878
quant_modeler,jhk,2020-06-13,0.045401785714285714,0.25,0.03349702380952381,0.2380952380952381
quant_modeler,538,2020-06-14,0.048035714285714286,0.25,0.039107142857142854,0.24107142857142858
quant_modeler,economist,2020-06-14,0.04137254901960785,0.2499038831218762,0.031568627450980394,0.24009996155324878
quant_modeler,jhk,2020-06-14,0.04598214285714286,0.25,0.025148809523809525,0.22916666666666669
quant_modeler,538,2020-06-15,0.04830357142857143,0.25,0.039375,0.24107142857142858
quant_modeler,economist,2020-06-15,0.04083333333333333,0.2499038831218762,0.031029411764705882,0.24009996155324873
quant_modeler,jhk,2020-06-15,0.04544642857142857,0.25,0.02461309523809524,0.22916666666666669
quant_modeler,538,2020-06-16,0.048124999999999994,0.25,0.03919642857142857,0.24107142857142858
quant_modeler,economist,2020-06-16,0.04240196078431373,0.2499038831218762,0.04240196078431373,0.24990388312187622
quant_modeler,jhk,2020-06-16,0.04366071428571429,0.25,0.03473214285714286,0.24107142857142858
quant_modeler,538,2020-06-17,0.047723214285714285,0.25,0.038794642857142854,0.24107142857142858
quant_modeler,economist,2020-06-17,0.04102941176470589,0.2499038831218762,0.04102941176470589,0.24990388312187622
quant_modeler,jhk,2020-06-17,0.04410714285714286,0.25,0.032202380952380955,0.2380952380952381
quant_modeler,538,2020-06-18,0.0490625,0.25,0.028229166666666666,0.22916666666666669
