cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,state_turnout,state_turnout_hi,state_turnout_lo,timestamp,simulations
2020,President,polls-plus,11/2/20,Trump,Biden,,Tennessee,0.00075,0.041691,0.96745,0.03255,,57.25449,41.55988,,1.185624,62.27819,46.56033,,1.739221,52.26684,36.54001,,0.6906765,15.69461,25.71633,5.731483,0.1059228,0.9938556,0.9980521,0.0362181,2847252,3241511,2460253,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,South Dakota,0.0004375,0.1697949,0.9478,0.0522,,57.79618,40.81253,,1.391288,64.04822,47.10871,,2.048256,51.47109,34.55863,,0.8057204,16.98364,29.4547,4.37924,0.1078814,0.9913793,0.9958607,0.0579378,412036,469802,355626,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,South Carolina,0.000975,0.0646482,0.89985,0.10015,,53.37569,45.88046,,0.7438525,57.11164,49.62473,,1.079592,49.62777,42.14095,,0.4402495,7.495224,14.94636,-0.0071144,0.1138245,0.9970045,0.9975652,0.1117891,2405615,2720417,2096457,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Rhode Island,0.0002125,0.0655667,0.000925,0.999075,,35.666,62.93765,,1.396344,40.18523,67.40688,,2.055887,31.19905,58.4206,,0.8085408,-27.27165,-18.22646,-36.19585,0.5135135,0.8935766,0.0046262,0.9994962,511862,579749,445560,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Pennsylvania,0.3628875,8.437094,0.1576,0.8424,,47.32353,51.98117,,0.6952996,50.33649,54.97906,,1.007523,44.31978,48.97456,,0.4124495,-4.657645,1.347994,-10.65157,0.5915292,0.9875356,0.907962,0.9313704,6844082,7713715,5985339,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Oregon,0.0029,0.1865808,0.018025,0.981975,,39.27635,58.68631,,2.037333,44.45387,63.85025,,3.026575,34.14408,53.49112,,1.162943,-19.40996,-9.102903,-29.64872,0.2718447,0.8963059,0.0477234,0.9853896,2462055,2776435,2150237,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Oklahoma,0.000025,0.0022217,0.994125,0.005875,,62.08621,36.85217,,1.061621,66.94768,41.77306,,1.553341,57.15815,31.99285,,0.6209137,25.23405,34.94783,15.42736,0.1032566,0.9957447,0.9997565,0.0065495,1597210,1837534,1364432,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,Ohio,0.0191875,0.4961623,0.546075,0.453925,,49.79485,49.20024,,1.004911,53.13932,52.55131,,1.468634,46.43593,45.86973,,0.5888621,0.5946066,7.256109,-6.096664,0.1873369,0.9991188,0.9963477,0.507753,6171167,6953817,5397191,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,North Dakota,0.0002,0.0865554,0.975975,0.024025,,59.62753,37.92739,,2.445079,65.7274,43.95247,,3.648307,53.54875,31.86174,,1.385462,21.70014,33.80923,9.660572,0.1050232,0.9916753,0.9982956,0.0266738,367236,422932,313623,11/2/20 23:45,40000
2020,President,polls-plus,11/2/20,Trump,Biden,,North Carolina,0.0524625,1.466676,0.362325,0.637675,,48.76996,50.53126,,0.6987824,52.10612,53.84459,,1.012681,45.47163,47.20783,,0.4144483,-1.7613,4.897066,-8.355625,0.2682675,0.9909045,0.9466764,0.7074283,5686854,6415360,4978429,11/2/20 23:45,40000
